size,CSF,density,settling,particle_type,velocity_goral,velocity_yu,velocity_dietrich
4.403829866899876e-05,0.5690369937561491,957.8131931958304,rising,fragment,-3.318092094545445e-05,-3.79773928621225e-05,-3.5389367475880105e-05
6.436191106047553e-05,0.5581719022136494,1042.0147927135092,settling,fragment,7.037461975806869e-05,8.078297654669431e-05,7.872789577187372e-05
2.7337648545976986e-05,0.303650024530717,1049.2154949138735,settling,fragment,1.4944024332091158e-05,1.450925354722897e-05,1.0661024294532716e-05
2.7768946835384716e-05,0.387879007993957,1001.0979147387168,settling,fragment,3.445713860809128e-07,3.4900997359991223e-07,1.9649257061385562e-07
3.646273357074641e-05,0.5140645846744505,909.5526829763836,rising,fragment,-4.874956414816121e-05,-5.4465552833612616e-05,-5.089313012103296e-05
4.911914191484411e-05,0.3915869000153422,1361.6833882422536,settling,fragment,0.0003504890598355195,0.0003722856350419567,0.00035410883690542393
0.0006211558521914,0.650512196288847,1000.5113934726816,settling,fragment,7.848202893478801e-05,9.558877402280353e-05,9.336547224065344e-05
7.838536009045709e-05,0.6516848051365448,945.2088749729488,rising,fragment,-0.00013561758072908766,-0.0001629216484273916,-0.00016163251678517004
0.0001122519052918,0.4760563075702738,1451.7211778512594,settling,fragment,0.0021919957435158986,0.0024985794927005465,0.002261183331276739
2.243348631407636e-05,0.2091935633775206,1407.2995876775703,settling,fragment,8.308817871153929e-05,7.41664065151426e-05,4.753725962116907e-05
3.2597177301499254e-05,0.2702923800779876,1251.7544312948312,settling,fragment,0.00010825466820309241,0.0001034731390825784,8.285926302241567e-05
0.0003275303004841,0.0435022335380104,1033.7401835776377,settling,fiber,0.0026361741250861435,0.00085273975190765,
4.2766819784866635e-05,0.4216816976875795,1360.473683973882,settling,fragment,0.0002655006219043912,0.0002862260542993217,0.0002754335099091843
0.0001613290458772,0.419052638616461,1383.146805989985,settling,fragment,0.0037050776897253166,0.004065842600363052,0.0034846412411627466
2.6141525991194247e-05,0.6279447898500615,904.0831782476566,rising,fragment,-2.661519104032523e-05,-3.108191222213618e-05,-2.781074229843552e-05
2.6879405150433206e-05,0.3891564283619991,1070.4934326068549,settling,fragment,2.0686342303169016e-05,2.1406795655777796e-05,1.7682228484341125e-05
3.833035738681138e-05,0.3028419261251608,1051.9908375215498,settling,fragment,3.0990554088596436e-05,3.0256795215856427e-05,2.4066006078025625e-05
2.8580473460439068e-05,0.5734348460796489,983.3466007103729,rising,fragment,-5.531197362091265e-06,-6.263462659207209e-06,-4.999788574007804e-06
2.3498941438881385e-05,0.3962614218857657,995.90985765505,rising,fragment,-9.19089649826802e-07,-9.39565134668608e-07,-5.792901945765948e-07
